#IP,serverType(splitBy;),os,sshPort,hostname,targetMysql,extC,EndOfLine
10.72.2.58,common-base;project-weibo-web-admin;common-beaver-shipper,el5,12322,,10.72.4.2,,eol
192.168.165.56,common-base;project-weibo-web-admin;common-beaver-shipper,el5,12322,,10.72.4.2,,eol
10.70.62.197,common-base;project-weibo-cdnRepo,el5,12322,,10.64.12.47,,eol
10.70.62.196,common-base;project-weibo-cdnRepo;project-weibo-sync-qqSohu,el5,12322,,10.64.12.47,,eol
10.64.1.174,common-base;project-es-node,el6,22,,,,eol
10.64.1.175,common-base;project-es-node,el6,22,,,,eol
10.64.1.176,common-base;project-es-node,el6,22,,,,eol
10.64.1.177,common-base;project-es-node,el6,22,,,,eol
10.70.58.190,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.191,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.192,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.193,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.194,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.195,common-base;project-taihai-web,el6,22,,,,eol
10.70.56.146,common-base;common-nginx-lua,el6,22,,,,eol
10.70.58.147,common-base;common-nginx-php,el6,22,,10.70.56.147,,eol
10.70.58.148,common-base;common-nginx-lua;project-boardcast-lua,el6,22,,10.70.56.147,,eol
10.70.59.11,common-base;common-nginx;common-jdk-tomcat;common-memcached;project-boardcast-web,el6,22,,,,eol
10.70.59.12,common-base;common-nginx;common-jdk-tomcat;common-memcached;project-boardcast-web,el6,22,,,,eol
10.70.59.13,common-base,el6,22,,,,eol
10.70.59.14,common-base,el6,22,,,,eol
10.70.59.15,common-base,el6,22,,,,eol
10.70.59.16,common-base,el6,22,,,,eol
10.70.59.17,common-base,el6,22,,,,eol
10.64.0.1,common-base,el6,22,,,,eol
10.64.0.2,common-base,el6,22,,,,eol
10.64.0.3,common-base,el6,22,,,,eol
10.64.0.4,common-base,el6,22,,,,eol
